date,HL01
2025-01-01 00:00:00,0.0
2025-01-01 00:01:00,0.0
2025-01-01 00:02:00,0.0
2025-01-01 00:03:00,0.0
2025-01-01 00:04:00,0.0
2025-01-01 00:05:00,0.0
2025-01-01 00:06:00,0.0
2025-01-01 00:07:00,0.0
2025-01-01 00:08:00,0.0
2025-01-01 00:09:00,0.0
2025-01-01 00:10:00,0.0
2025-01-01 00:11:00,0.0
2025-01-01 00:12:00,0.0
2025-01-01 00:13:00,0.0
2025-01-01 00:14:00,100.0
2025-01-01 00:15:00,100.0
2025-01-01 00:16:00,100.0
2025-01-01 00:17:00,100.0
2025-01-01 00:18:00,100.0
2025-01-01 00:19:00,100.0
